                                                                    AC69917100 
CONJUNTO DISTRITO INDUSTRIAL ZONA B                                     DISTRITO INDUSTRIAL                                                     RIO BRANCO                                                              ACRE                                                                    AC69918350 
RUA TRINTA E DOIS                                                       TANCREDO NEVES                                                          RIO BRANCO                                                              ACRE                                                                    AC69918340 
RUA TRINTA E UM                                                         TANCREDO NEVES                                                          RIO BRANCO                                                              ACRE                                                                    AC69918330 
RUA TRINTA                                                              TANCREDO NEVES                                                          RIO BRANCO                                                              ACRE                                                                    AC69918320 
RUA VINTE E NOVE                                                        TANCREDO NEVES                                                          RIO BRANCO                                                              ACRELADEIRA DA PALMA                                                        NAZARÉ                                                                  SALVADOR                                                                BAHIA                                                                           ACRE                                                                    AC69918380 
RUA TRINTA E CINCO                                                      TANCREDO NEVES                                                          RIO BRANCO                                                              ACRE                                                                    AC69918370 
RUA TRINTA E QUATRO                                                     TANCREDO NEVES                                                          RIO BRANCO                                                              ACREBOULEVARD SEARA                                                         BARBALHO                                                                SALVADOR                                                                BAHIA                                                                           ACRE                                                                    AC69912685 
RUA OITO                                                                MANOEL JULIÃO                                                           RIO BRANCO                                                              ACRE
